id,brand,name,category,why,shop,photo_w,photo_h,photo_url
dell-15-ldc15250-7427blk-pus-touch-w11,Dell,"15, LDC15250-7427BLK-PUS, Touch, W11",laptop,no source image at all,eldorado,,,
dell-n2y94,Dell,N2Y94,laptop,no source image at all,eldorado,,,
honor-magicbook-pro-16-ultra-5-125h-24-1-w11h-5301ajjg,Honor,MagicBook Pro 16,laptop,no source image at all,zigzag,,,
honor-magicbook-x16-2025,Honor,MagicBook X16 2025,laptop,no source image at all,eldorado,,,
honor-magicbook-x16-2026-16-wuxga-ssd1tb,Honor,MagicBook X16 2026 16undefined WUXGA /SSD1TB,laptop,no source image at all,eldorado,,,
hp-envy-hayden-22c1,HP,ENVY Hayden 22C1,laptop,no source image at all,eldorado,,,
hp-g10-470g10,HP,G10 470G10,laptop,no source image at all,eldorado,,,
hp-omnibook-5-16-ultra-7-255u-16-1-bk9y8ea,HP,OmniBook 5 16 (Ultra 7),laptop,no source image at all,zigzag,,,
hp-victus-clamshell-roaree-24c1,HP,Victus Clamshell Roaree 24C1,laptop,no source image at all,eldorado,,,
lenovo-82vg00wxus,Lenovo,82VG00WXUS,laptop,no source image at all,eldorado,,,
lenovo-82xb00hvus,Lenovo,82XB00HVUS,laptop,no source image at all,eldorado,,,
lenovo-82yu016tpb,Lenovo,82YU016TPB,laptop,no source image at all,eldorado,,,
lenovo-83b40008us,Lenovo,83B40008US,laptop,no source image at all,eldorado,,,
lenovo-83f00005us,Lenovo,83F00005US,laptop,no source image at all,eldorado,,,
lenovo-83l7002nus,Lenovo,83L7002NUS,laptop,no source image at all,eldorado,,,
lenovo-83lk0001us,Lenovo,83LK0001US,laptop,no source image at all,eldorado,,,
lenovo-83lk00cvus,Lenovo,83LK00CVUS,laptop,no source image at all,eldorado,,,
lenovo-ideapad-5-2-in-1-touch-w11-83ds0056us,Lenovo,"IdeaPad 5 2-in 1, Touch, W11, 83DS0056US",laptop,no source image at all,eldorado,,,
lenovo-ideapad-pro-5-16irh8,Lenovo,IdeaPad Pro 5 16IRH8,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-3-15-6-w11-abyss-bl-82xq012hus,Lenovo,IdeaPad Slim 3 15AMN8,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-3-16irh10,Lenovo,IdeaPad Slim 3 16IRH10,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-3-ryzen-7-8840hs-83ka000qus-touch-bklit-w11,Lenovo,IdeaPad Slim 3 (Ryzen 7),laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-5-14irh10,Lenovo,IdeaPad Slim 5 14IRH10,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-5-14irh10r,Lenovo,IdeaPad Slim 5 14IRH10R,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-5-16irh10-16-i5-13420h-tb,Lenovo,IdeaPad Slim 5 16IRH10 16undefined i5-13420H /TB,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-516irh10,Lenovo,IdeaPad Slim 516IRH10,laptop,no source image at all,eldorado,,,
lenovo-ideapad-slim-5i-core-7-240h-83j1002sus,Lenovo,"IdeaPad Slim 5i, Core 7 240H, 83J1002SUS",laptop,no source image at all,eldorado,,,
lenovo-loq-15iax9,Lenovo,LOQ 15IAX9,laptop,no source image at all,eldorado,,,
lenovo-think-book-14-g8-irl,Lenovo,Think Book 14 G8 IRL,laptop,no source image at all,eldorado,,,
lenovo-thinkpad-t16-g4-16-ultra-7-255u-21qe0066fw,Lenovo,ThinkPad T16 G4,laptop,no source image at all,zigzag,,,
lenovo-yoga-9-13imu9,Lenovo,Yoga 9 13IMU9,laptop,no source image at all,redstore,1200,1200,https://admin.redstore.am/storage/products/53916/image/photoroom-20260131-121408.webp
lenovo-yoga-9-14ill10,Lenovo,Yoga 9 14ILL10,laptop,no source image at all,redstore,1800,1800,https://admin.redstore.am/storage/products/59090/image/img-3041.webp
microsoft-surface-4,Microsoft,Surface 4,laptop,no source image at all,eldorado,,,
microsoft-surface-go-2,Microsoft,Surface Go 2,laptop,no source image at all,eldorado,,,
aoc-49-lcd-ag493ucx,AOC,49undefined LCD AG493UCX,monitor,no source image at all,eldorado,,,
apple-studio-display-xdr-2026-tilt-height-adjustable-mfel4,Apple,Studio Display XDR,monitor,no source image at all,zigzag,,,
philips-24-usb-c-24e1n3300a-00,Philips,24undefined USB-C 24E1N3300A/00,monitor,no source image at all,eldorado,,,
google-pixel-10-pro-fold-gu0np,Google,Pixel 10 Pro Fold /GU0NP,phone,no source image at all,zigzag,,,
google-pixel-9,Google,Pixel 9,phone,no source image at all,pixel,1200,627,https://cdn.storech.com/uploads/store-media-files/000/000/000/000/002/134/1732133829-3.png
google-pixel-9-pro,Google,Pixel 9 Pro,phone,no source image at all,pixel,1200,627,https://cdn.storech.com/uploads/store-media-files/000/000/000/000/002/137/1732133876-7894.png
google-pixel-9-pro-xl,Google,Pixel 9 Pro XL,phone,no source image at all,pixel,1200,627,https://cdn.storech.com/uploads/store-media-files/000/000/000/000/002/136/1732133858-456.png
apple-homepod-mini-mj2e3ll-a,Apple,HomePod Mini /MJ2E3LL/A*,speaker,no source image at all,zigzag,,,
marshall-acton-3,Marshall,Acton 3,speaker,no source image at all,istyle,700,700,https://istyle.am/storage/products/img-5074-20260726011401-rtsbme.webp
marshall-woburn-3,Marshall,Woburn 3,speaker,no source image at all,istyle,1000,488,https://istyle.am/storage/products/61tajircszl-ac-uf1000-1000-ql80-1jpg-20260727105647-kxr2z9.webp
apple-ipad-10-a16-wi-fi-2025,Apple,iPad 10 A16 Wi-Fi /2025,tablet,no source image at all,istyle,762,825,https://istyle.am/storage/products/250423160041192789-20260803032746-isq2bw-v1-20260803040152-fkejm0.webp
apple-ipad-air-5-wi-fi-plus-cellular-2022,Apple,iPad Air 5 Wi-Fi + Cellular 2022,tablet,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/03/red1107_1.jpg
apple-ipad-mini-7-wifi,Apple,iPad Mini 7 WiFi,tablet,no source image at all,istyle,700,700,https://istyle.am/storage/products/71ey-9d8ydl-ac-uf1000-1000-ql80-jpg-20260803031946-bgevrk.webp
apple-ipad-pro-12-9-m2-cell-spacegray-mp5x3,Apple,iPad Pro 12.9 M2 Cell SpaceGray/MP5X3*,tablet,no source image at all,zigzag,,,
apple-ipad-pro-12-9-m2-wifi-s-grey-mnxp3rk-a,Apple,iPad Pro 12.9 M2 WiFi S.Grey/MNXP3RK/A,tablet,no source image at all,zigzag,,,
apple-ipad-pro-12-9-m2-wifi-silver-mnxq3rk-a,Apple,iPad Pro 12.9 M2 WiFi Silver/MNXQ3RK/A,tablet,no source image at all,zigzag,,,
apple-ipad-pro-13-m4-wi-fi-plus-cellular-2024,Apple,iPad Pro 13 M4 Wi-Fi + Cellular 2024,tablet,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/03/ispace_185.jpg
apple-ipad-pro-13-wi-fi-plus-cellular-2024,Apple,iPad Pro 13 Wi-Fi + Cellular 2024,tablet,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/03/red1088_1.jpg
honor-pad-x7-jms-w09,Honor,Pad X7 JMS-W09,tablet,no source image at all,eldorado,,,
honor-pad-x7-lte-jms-l09,Honor,Pad X7 LTE JMS-L09,tablet,no source image at all,eldorado,,,
honor-pad-x8b-ndl2-l09,Honor,Pad X8b NDL2-L09,tablet,no source image at all,eldorado,,,
honor-pad-x8b-ndl2-w09,Honor,Pad X8b NDL2-W09,tablet,no source image at all,eldorado,,,
hisense-32a4n,Hisense,32A4N,tv,no source image at all,vlv,,,
hisense-40a4n,Hisense,40A4N,tv,no source image at all,vlv,,,
hisense-43a7kq,Hisense,43A7KQ,tv,no source image at all,vlv,,,
hisense-50a7nq,Hisense,50A7NQ,tv,no source image at all,vlv,,,
hisense-55a6n,Hisense,55A6N,tv,no source image at all,vlv,,,
hisense-65a7nq,Hisense,65A7NQ,tv,no source image at all,vlv,,,
hisense-65a85k,Hisense,65A85K,tv,no source image at all,vlv,,,
hisense-65u7hq,Hisense,65U7HQ,tv,no source image at all,vlv,,,
hisense-65uxkq,Hisense,65UXKQ,tv,no source image at all,vlv,,,
hisense-75e8s,Hisense,75E8S,tv,no source image at all,vlv,1200,630,https://vlv.am/public/logos/vlv_open_graph.png
hisense-85a6bg,Hisense,85A6BG,tv,no source image at all,vlv,,,
hisense-85e8s,Hisense,85E8S,tv,no source image at all,vlv,1253,844,https://vlv.am/public/uploads/images/29-07-2026/6a6a04041a07c.webp
hisense-85u7s-pro,Hisense,85U7S PRO,tv,no source image at all,vlv,1253,844,https://vlv.am/public/uploads/images/29-07-2026/6a6a049aaaa88.webp
lg-43nano766qa,LG,43NANO766QA,tv,no source image at all,vlv,,,
lg-43uq81006lb,LG,43UQ81006LB,tv,no source image at all,vlv,,,
lg-55nano766qa,LG,55NANO766QA,tv,no source image at all,vlv,,,
lg-55nano816na,LG,55NANO816NA,tv,no source image at all,vlv,,,
lg-55qned816ra,LG,55QNED816RA,tv,no source image at all,vlv,,,
lg-55ur81006lj,LG,55UR81006LJ,tv,no source image at all,vlv,,,
lg-65nano766qa,LG,65NANO766QA,tv,no source image at all,vlv,,,
lg-65qned80a6a,LG,65QNED80A6A,tv,no source image at all,eldorado,,,
lg-oled65b5rla,LG,OLED65B5RLA,tv,no source image at all,eldorado,,,
samsung-qe55ls03bauxce,Samsung,QE55LS03BAUXCE,tv,no source image at all,vlv,,,
samsung-qe55q60abuxru,Samsung,QE55Q60ABUXRU,tv,source exists but under 600px,eldorado,,,
samsung-qe55q7fam,Samsung,QE55Q7FAM,tv,no source image at all,eldorado,,,
samsung-qe65s90dauxru,Samsung,QE65S90DAUXRU,tv,no source image at all,eldorado,,,
samsung-qe65s95hauxpy,Samsung,QE65S95HAUXPY,tv,no source image at all,vlv,800,800,https://vlv.am/public/uploads/images/30-07-2026/6a6b3285074fa.webp
samsung-qe83s90daexru,Samsung,QE83S90DAEXRU,tv,no source image at all,vlv,,,
samsung-qe85qn800auxru,Samsung,QE85QN800AUXRU,tv,no source image at all,vlv,,,
samsung-qe85qn90bauxce,Samsung,QE85QN90BAUXCE,tv,no source image at all,vlv,,,
samsung-qe85qn90cauxru,Samsung,QE85QN90CAUXRU,tv,no source image at all,vlv,,,
samsung-ue98du9000uxru,Samsung,UE98DU9000UXRU,tv,no source image at all,vlv,,,
sony-kd-50x75wl,Sony,KD-50X75WL,tv,no source image at all,vlv,,,
sony-kd-55x85l,Sony,KD-55X85L,tv,no source image at all,vlv,,,
sony-kd-65x75wl,Sony,KD-65X75WL,tv,no source image at all,vlv,,,
sony-kd-65x85l,Sony,KD-65X85L,tv,no source image at all,vlv,,,
toshiba-32v35me,Toshiba,32V35ME,tv,no source image at all,vlv,,,
toshiba-43c350ke,Toshiba,43C350KE,tv,no source image at all,vlv,,,
toshiba-43c350le,Toshiba,43C350LE,tv,no source image at all,vlv,,,
toshiba-43c450ke,Toshiba,43C450KE,tv,no source image at all,vlv,,,
toshiba-43c450me,Toshiba,43C450ME,tv,no source image at all,vlv,,,
toshiba-50m550le,Toshiba,50M550LE,tv,no source image at all,vlv,,,
toshiba-55c450me,Toshiba,55C450ME,tv,no source image at all,vlv,,,
toshiba-55z670me,Toshiba,55Z670ME,tv,no source image at all,vlv,,,
toshiba-65c450me,Toshiba,65C450ME,tv,no source image at all,vlv,,,
toshiba-85m550le,Toshiba,85M550LE,tv,no source image at all,vlv,,,
toshiba-85z670me,Toshiba,85Z670ME,tv,no source image at all,vlv,,,
xiaomi-a-43-2026,Xiaomi,A 43 2026,tv,no source image at all,eldorado,,,
xiaomi-a-50-2026,Xiaomi,A 50 2026,tv,no source image at all,eldorado,,,
xiaomi-a-65-2025,Xiaomi,A 65 2025,tv,no source image at all,eldorado,,,
xiaomi-a-65-2026,Xiaomi,A 65 2026,tv,no source image at all,eldorado,,,
xiaomi-a-pro-43-2026,Xiaomi,A Pro 43 2026,tv,no source image at all,eldorado,,,
garmin-cirqa-smart-band-french-l-xl,Garmin,CIRQA Smart Band French L/XL,watch,no source image at all,eldorado,,,
garmin-cirqa-smart-band-mauve-l-xl,Garmin,CIRQA Smart Band Mauve L-XL,watch,no source image at all,eldorado,,,
garmin-cirqa-smart-band-mauve-s-m,Garmin,CIRQA Smart Band,watch,no source image at all,zigzag,,,
garmin-cirqa-smart-band-s-m,Garmin,"CIRQA Smart Band, Black, S-M",watch,no source image at all,zigzag,,,
garmin-epix-pro-sapphire-edition-51-mm,Garmin,epix Pro – Sapphire Edition,watch,no source image at all,eldorado,,,
garmin-epix-pro-standard-edition-47mm,Garmin,epix Pro – Standard Edition,watch,no source image at all,eldorado,,,
garmin-fenix-7-pro-sapphire-solar,Garmin,Fenix 7 Pro Sapphire Solar,watch,no source image at all,zigzag,,,
garmin-fenix-7x-pro-sapphire-solar-edition,Garmin,Fenix 7X Pro – Sapphire Solar Edition,watch,no source image at all,zigzag,,,
garmin-fenix-8-47-mm-amoled,Garmin,"Fenix 8, AMOLED",watch,no source image at all,zigzag,,,
garmin-fenix-8-47-mm-amoled-sapphire-carbon,Garmin,"Fenix 8, AMOLED Sapphire Carbon",watch,no source image at all,zigzag,,,
garmin-fenix-8-47-mm-amoled-sapphire-spark,Garmin,"Fenix 8, AMOLED Sapphire Spark",watch,no source image at all,zigzag,,,
garmin-fenix-8-pro-47-mm-amoled,Garmin,"Fenix 8 Pro, AMOLED",watch,no source image at all,zigzag,,,
garmin-fenix-9-51mm-carbon-dlc-band,Garmin,"Fenix 9, Carbon DLC, Band",watch,no source image at all,zigzag,,,
garmin-fenix-9-pro-47mm-amoled-carbon-dlc,Garmin,"Fenix 9 Pro, AMOLED, Carbon DLC",watch,no source image at all,zigzag,,,
garmin-forerunner-170,Garmin,Forerunner 170,watch,no source image at all,zigzag,,,
garmin-forerunner-170-music,Garmin,Forerunner 170 Music,watch,no source image at all,zigzag,,,
garmin-forerunner-170-music-whitestone,Garmin,Forerunner 170 Music Whitestone,watch,no source image at all,zigzag,,,
garmin-forerunner-170-whitestone,Garmin,Forerunner 170 Whitestone,watch,no source image at all,zigzag,,,
garmin-forerunner-570,Garmin,Forerunner 570,watch,no source image at all,zigzag,,,
garmin-forerunner-70,Garmin,Forerunner 70,watch,no source image at all,zigzag,,,
garmin-forerunner-70-citron,Garmin,Forerunner 70 Citron,watch,no source image at all,zigzag,,,
garmin-forerunner-70-whitestone,Garmin,Forerunner 70 Whitestone,watch,no source image at all,zigzag,,,
garmin-forerunner-965-black-powder,Garmin,Forerunner 965 Black/Powder Grey,watch,no source image at all,zigzag,,,
garmin-forerunner-970,Garmin,Forerunner 970 Black,watch,no source image at all,zigzag,,,
garmin-forerunner-970-010-02969-10,Garmin,Forerunner 970 010-02969-10,watch,no source image at all,eldorado,,,
garmin-instinct-2x-solar,Garmin,Instinct 2X Solar,watch,no source image at all,zigzag,,,
garmin-instinct-2x-solar-moss,Garmin,Instinct 2X Solar Moss,watch,no source image at all,zigzag,,,
