id,brand,name,category,offers,why,best_source_px,source_file
lenovo-ideapad-slim-3-16irh10,Lenovo,IdeaPad Slim 3 16IRH10,laptop,1,no source saved,0,
lenovo-ideapad-slim-5-14irh10,Lenovo,IdeaPad Slim 5 14IRH10,laptop,1,no source saved,0,
lenovo-ideapad-slim-5-14irh10r,Lenovo,IdeaPad Slim 5 14IRH10R,laptop,1,no source saved,0,
lenovo-ideapad-slim-5-16irh10-16-i5-13420h-tb,Lenovo,"IdeaPad Slim 5 16IRH10 16"" i5-13420H /TB",laptop,1,no source saved,0,
lenovo-ideapad-slim-516irh10,Lenovo,IdeaPad Slim 516IRH10,laptop,1,no source saved,0,
lenovo-ideapad-slim-5i-core-7-240h-83j1002sus,Lenovo,"IdeaPad Slim 5i, Core 7 240H, 83J1002SUS",laptop,1,no source saved,0,
lenovo-loq-15iax9,Lenovo,LOQ 15IAX9,laptop,1,no source saved,0,
lenovo-think-book-14-g8-irl,Lenovo,Think Book 14 G8 IRL,laptop,1,no source saved,0,
lenovo-thinkpad-t16-g4-16-ultra-7-255u-21qe0066fw,Lenovo,ThinkPad T16 G4,laptop,1,no source saved,0,
lenovo-yoga-9-13imu9,Lenovo,Yoga 9 13IMU9,laptop,1,no source saved,0,
lenovo-yoga-9-14ill10,Lenovo,Yoga 9 14ILL10,laptop,1,no source saved,0,
microsoft-surface-4,Microsoft,Surface 4,laptop,1,no source saved,0,
microsoft-surface-go-2,Microsoft,Surface Go 2,laptop,1,no source saved,0,
microsoft-xbox,Microsoft,Xbox Wireless Headset,headphones,1,no source saved,0,
nothing-6974434224179,Nothing,6974434224179,headphones,1,no source saved,0,
nothing-cmf-3-pro-6974434225312,Nothing,CMF Watch 3 Pro,watch,1,no source saved,0,
nothing-cmf-pro-2,Nothing,CMF Watch Pro 2,watch,1,no source saved,0,
philips-24-usb-c-24e1n3300a-00,Philips,"24"" USB-C 24E1N3300A/00",monitor,1,no source saved,0,
samsung-qe55ls03bauxce,Samsung,QE55LS03BAUXCE,tv,1,no source saved,0,
samsung-qe55q60abuxru,Samsung,QE55Q60ABUXRU,tv,1,source only 500px,500,samsung-qe55q60abuxru__main.jpg
samsung-qe55q7fam,Samsung,QE55Q7FAM,tv,1,no source saved,0,
samsung-qe65s90dauxru,Samsung,QE65S90DAUXRU,tv,1,no source saved,0,
samsung-qe65s95hauxpy,Samsung,QE65S95HAUXPY,tv,1,no source saved,0,
samsung-qe83s90daexru,Samsung,QE83S90DAEXRU,tv,1,no source saved,0,
samsung-qe85qn800auxru,Samsung,QE85QN800AUXRU,tv,1,no source saved,0,
samsung-qe85qn90bauxce,Samsung,QE85QN90BAUXCE,tv,1,no source saved,0,
samsung-qe85qn90cauxru,Samsung,QE85QN90CAUXRU,tv,1,no source saved,0,
samsung-ue98du9000uxru,Samsung,UE98DU9000UXRU,tv,1,no source saved,0,
sennheiser-accentum-wireless-acaebt,Sennheiser,Accentum Wireless ACAEBT,headphones,1,no source saved,0,
sennheiser-hd-450bt,Sennheiser,HD 450BT,headphones,1,source only 500px,500,sennheiser-hd-450bt__main.jpg
sennheiser-hd-599,Sennheiser,HD 599,headphones,1,source only 500px,500,sennheiser-hd-599__main.jpg
sony-kd-50x75wl,Sony,KD-50X75WL,tv,1,no source saved,0,
sony-kd-55x85l,Sony,KD-55X85L,tv,1,no source saved,0,
sony-kd-65x75wl,Sony,KD-65X75WL,tv,1,no source saved,0,
sony-kd-65x85l,Sony,KD-65X85L,tv,1,no source saved,0,
sony-wf-1000xm5-bce,Sony,WF-1000XM5/BCE,earbuds,1,no source saved,0,
sony-wf-1000xm5-sce,Sony,WF-1000XM5/SCE,earbuds,1,no source saved,0,
sony-wf-c700n-gz-e,Sony,WF-C700N/GZ E,earbuds,1,no source saved,0,
sony-wf-c700n-wz-e,Sony,WF-C700N/WZ E,earbuds,1,no source saved,0,
sony-wh-g900n-wz-e,Sony,WH-G900N/WZ E,headphones,1,no source saved,0,
toshiba-32v35me,Toshiba,32V35ME,tv,1,no source saved,0,
toshiba-43c350ke,Toshiba,43C350KE,tv,1,no source saved,0,
