shop,brand,name,category,priceAmd,id,shopTitle
eldorado,Sennheiser,Accentum ACAEBT,headphones,89900,sennheiser-accentum-acaebt,Անլար ականջակալ Sennheiser Accentum ACAEBT սպիտակ
eldorado,Sennheiser,Accentum Plus,headphones,119900,sennheiser-accentum-plus,Անլար ականջակալ Sennheiser Accentum Plus (ACPAEBT) սև
eldorado,Sennheiser,Accentum True Special Edition ATW1 SE,headphones,99900,sennheiser-accentum-true-special-edition-atw1-se,Ականջակալ Sennheiser Accentum True Special Edition ATW1 SE կապույտ
eldorado,Sennheiser,Accentum True Wireless ATW1,headphones,99900,sennheiser-accentum-true-wireless-atw1,Ականջակալ Sennheiser Accentum True Wireless ATW1 սպիտակ
eldorado,Sennheiser,Accentum Wireless ACAEBT,headphones,89900,sennheiser-accentum-wireless-acaebt,Անլար ականջակալ Sennheiser Accentum Wireless ACAEBT սև
eldorado,Sennheiser,HD 450BT,headphones,69900,sennheiser-hd-450bt,Անլար ականջակալ Sennheiser HD 450BT Black
eldorado,Sennheiser,HD 599,headphones,95900,sennheiser-hd-599,Ականջակալ Sennheiser HD 599
eldorado,Sennheiser,HD 620S,headphones,159900,sennheiser-hd-620s,Sennheiser HD 620S Ականջակալ
eldorado,Sennheiser,Momentum M4AEBT,headphones,169900,sennheiser-momentum-m4aebt,Անլար ականջակալ Sennheiser Momentum M4AEBT սև
eldorado,Sennheiser,Momentum Sport MSPORT1,headphones,159900,sennheiser-momentum-sport-msport1,Ականջակալ Sennheiser Momentum Sport MSPORT1 Olive
eldorado,Sennheiser,RS 195,headphones,159900,sennheiser-rs-195,Sennheiser RS 195 Black Ականջակալ
eldorado,Sony,Playstation DualSense PS5,console,37900,sony-playstation-dualsense-ps5,Sony Playstation DualSense PS5 մոխրագույն
eldorado,Sony,Playstation Pulse Elite wireless PS5,headphones,79900,sony-playstation-pulse-elite-wireless-ps5,Անլար ականջակալ Sony Playstation Pulse Elite wireless PS5
eldorado,Sony,PULSE Explore,headphones,89900,sony-pulse-explore,Անլար ականջակալ Sony PULSE Explore White
eldorado,Sony,WF-C500 True Wireless,headphones,37900,sony-wf-c500-true-wireless,Sony WF-C500 True Wireless (YY2952) անլար ականջակալ նարնջագույն
eldorado,Sony,WH-CH720,headphones,57900,sony-wh-ch720,Sony WH-CH720 Black Անլար ականջակալ
eldorado,Sony,WHULT900N,headphones,89900,sony-whult900n,Sony WHULT900N White Անլար ականջակալ
eldorado,TCL,115C7K,tv,6398900,tcl-115c7k,Սմարթ հեռուստացույց TCL 115C7K
eldorado,TCL,43P7K,tv,179900,tcl-43p7k,Սմարթ հեռուստացույց TCL 43P7K
eldorado,TCL,43V6C,tv,149900,tcl-43v6c,Սմարթ հեռուստացույց TCL 43V6C
eldorado,TCL,50C6K,tv,309900,tcl-50c6k,Սմարթ հեռուստացույց TCL 50C6K
eldorado,TCL,50P7L,tv,275900,tcl-50p7l,Սմարթ հեռուստացույց TCL 50P7L
eldorado,TCL,50V6C,tv,209900,tcl-50v6c,Սմարթ հեռուստացույց TCL 50V6C
eldorado,TCL,55C7K,tv,439900,tcl-55c7k,Սմարթ հեռուստացույց TCL 55C7K
eldorado,TCL,55P7K,tv,279900,tcl-55p7k,Սմարթ հեռուստացույց TCL 55P7K
eldorado,TCL,55P8L,tv,299800,tcl-55p8l,Սմարթ հեռուստացույց TCL 55P8L
eldorado,TCL,65C7L,tv,639900,tcl-65c7l,Սմարթ հեռուստացույց TCL 65C7L
eldorado,TCL,65P8K,tv,279900,tcl-65p8k,Սմարթ հեռուստացույց TCL 65P8K
eldorado,TCL,65P8L,tv,381700,tcl-65p8l,Սմարթ հեռուստացույց TCL 65P8L
eldorado,TCL,65T6D,tv,409900,tcl-65t6d,Սմարթ հեռուստացույց TCL 65T6D
eldorado,TCL,75C6K,tv,729900,tcl-75c6k,Սմարթ հեռուստացույց TCL 75C6K
eldorado,TCL,75C7K,tv,779900,tcl-75c7k,Սմարթ հեռուստացույց TCL 75C7K
eldorado,TCL,75T6D,tv,519900,tcl-75t6d,Սմարթ հեռուստացույց TCL 75T6D
eldorado,TCL,75V6D,tv,459900,tcl-75v6d,Սմարթ հեռուստացույց TCL 75V6D
eldorado,TCL,85P7L,tv,699900,tcl-85p7l,Սմարթ հեռուստացույց TCL 85P7L
eldorado,TCL,85P8L,tv,695900,tcl-85p8l,Սմարթ հեռուստացույց TCL 85P8L
eldorado,TCL,98C6K,tv,1499000,tcl-98c6k,Սմարթ հեռուստացույց TCL 98C6K
eldorado,TCL,98P8K,tv,1199000,tcl-98p8k,Սմարթ հեռուստացույց TCL 98P8K
eldorado,Xiaomi,Redmi 8 Active BHR08JTGL,headphones,10900,xiaomi-redmi-8-active-bhr08jtgl,Անլար ականջակալ Redmi Buds 8 Active (Black) (M2537E1) BHR08JTGL
eldorado,Xiaomi,Redmi 8 Active BHR08JUGL,headphones,10900,xiaomi-redmi-8-active-bhr08jugl,Անլար ականջակալ Redmi Buds 8 Active (White) (M2537E1) BHR08JUGL
eldorado,Xiaomi,Redmi 8 Lite,headphones,14900,xiaomi-redmi-8-lite,Անլար ականջակալ Redmi Buds 8 Lite Black
eldorado,Xiaomi,Redmi 8 lite BHR08OLGL,headphones,14900,xiaomi-redmi-8-lite-bhr08olgl,Անլար ականջակալ Redmi Buds 8 lite (M2539E1) BHR08OLGL Սպիտակ
eldorado zigzag,Sony,WH-1000XM5,headphones,199900,sony-wh-1000xm5,Sony WH-1000XM5 (YY2954) անլար ականջակալ արծաթագույն
ibolit,Apple,HomePod 2,speaker,165900,apple-homepod-2,Apple HomePod 2 White
ibolit,Apple,HomePod Mini,speaker,59900,apple-homepod-mini,Apple HomePod Mini Black
ibolit,Apple,iPad 10.2 9th Gen Wi-Fi,tablet,154000,apple-ipad-10-2-9th-gen-wi-fi,iPad 10.2 9th Gen 64GB Wi-Fi Silver
ibolit,Apple,"iPad 10.2 9th Generation , , Wi-Fi",tablet,152000,apple-ipad-10-2-9th-generation-wi-fi,iPad 10.2 9th Generation   64GB  Wi-Fi  Space Gray
ibolit,Apple,iPad Air 11 Wi-Fi + Cellular 2024,tablet,405000,apple-ipad-air-11-wi-fi-plus-cellular-2024,iPad Air 11 128GB Wi-Fi + Cellular 2024 Blue
ibolit,Apple,iPad Air 11 Wi-Fi 2024,tablet,277000,apple-ipad-air-11-wi-fi-2024,iPad Air 11 128GB Wi-Fi 2024 Purple
ibolit,Apple,iPad Air 13 Wi-Fi + Cellular 2024,tablet,521000,apple-ipad-air-13-wi-fi-plus-cellular-2024,iPad Air 13 128GB Wi-Fi + Cellular 2024 Blue
ibolit,Apple,iPad Air 13 Wi-Fi 2024,tablet,493000,apple-ipad-air-13-wi-fi-2024,iPad Air 13 256 GB Wi-Fi 2024 Purple
ibolit,Apple,iPad Air 5 Wi-Fi + Cellular 2022,tablet,365000,apple-ipad-air-5-wi-fi-plus-cellular-2022,iPad Air 5 64GB Wi-Fi + Cellular 2022 Space Gray
ibolit,Apple,iPad Pro 13 M4 Wi-Fi + Cellular 2024,tablet,598000,apple-ipad-pro-13-m4-wi-fi-plus-cellular-2024,iPad Pro 13 256GB M4 Wi-Fi + Cellular 2024 Space Grey
ibolit,Apple,iPad Pro 13 Wi-Fi + Cellular 2024,tablet,715000,apple-ipad-pro-13-wi-fi-plus-cellular-2024,iPad Pro 13 512GB Wi-Fi + Cellular 2024 Silver
ibolit,Apple,iPad Pro 13 Wi-Fi 2024,tablet,680000,apple-ipad-pro-13-wi-fi-2024,iPad Pro 13 512GB Wi-Fi 2024 Silver
ibolit,Apple,iPhone 14 Pro Max Magic Glass Box,phone,99000,apple-iphone-14-pro-max-magic-glass-box,iPhone 14 Pro Max Magic Glass Box
ibolit,Apple,MacBook Air 13 M1 2024,laptop,719000,apple-macbook-air-13-m1-2024,MacBook Air 13 M1 2024 Starlight
ibolit,Apple,MacBook Air 13 MGN63 M1 2020,laptop,275000,apple-macbook-air-13-mgn63-m1-2020,MacBook Air 13 MGN63 M1 2020 Space Gray
ibolit,Apple,MacBook Air 13 MGN93 M1 2020,laptop,305000,apple-macbook-air-13-mgn93-m1-2020,MacBook Air 13 MGN93 M1 2020 Silver
