Shop,Product,Category,Capacities we hold,Colours we hold,Price we hold,Price max,What the shop called it,CHECKED price,CHECKED per-capacity prices,CHECKED colours,Notes
istyle,Dyson Supersonic Nural hair dryer,appliance,,,"229,000",,Dyson Supersonic Nural™ hair dryer,,,,
istyle,Dyson Supersonic r DH17,appliance,,,"229,000",,Dyson Supersonic r™ DH17,,,,
istyle,JBL PartyBox Club 120,speaker,,,"184,000",,JBL PartyBox Club 120,,,,
istyle,Marshall Acton 3,speaker,,,"125,000",,Marshall Acton 3,,,,
istyle,Marshall Woburn 3,speaker,,,"219,000",,Marshall Woburn 3,,,,
pixel,Dyson HD16 Supersonic Nural Red Velvet,appliance,,,"279,000",,Dyson HD16 Supersonic™ Nural Red Velvet,,,,
pixel,Dyson HD16 Supersonic Vinca Blue/Topaz,appliance,,,"215,000",,Dyson HD16 Supersonic™ Vinca Blue/Topaz,,,,
pixel,Dyson HS08 Airwrap ID Multi- Jasper Plum,appliance,,,"269,000",,Dyson HS08 Airwrap™ ID Multi-Styler Jasper Plum,,,,
pixel,Dyson HS08 Airwrap ID Multi- Red Velvet/Gold,appliance,,,"299,000",,Dyson HS08 Airwrap™ ID Multi-Styler Red Velvet/Gold,,,,
pixel,Dyson Supersonic HD07,appliance,,Iron Fuchsia,"192,000",,Dyson Supersonic Hair Dryer HD07 (Iron Fuchsia),,,,
pixel,Google Pixel 9,phone,,,"285,000",,Google Pixel 9,,,,
pixel,Google Pixel 9 Pro,phone,,,"375,000",,Google Pixel 9 Pro,,,,
pixel,Google Pixel 9 Pro XL,phone,,,"389,000",,Google Pixel 9 Pro XL,,,,
pixel,Samsung Galaxy Watch FE,watch,,,"62,000",,Samsung Galaxy Watch FE,,,,
pixel,Samsung Galaxy Watch Ultra 2024,watch,47mm,,"159,000",,Samsung Galaxy Watch Ultra 47mm 2024 (Սպիտակ Տիտան),,,,
pixel,Samsung Galaxy Watch Ultra 2025,watch,47mm,,"159,000",,Samsung Galaxy Watch Ultra 47mm 2025 (Մոխրագույն Տիտան),,,,
pixel,Sony PS5 BackBone,console,,,"55,000",,Sony PS5 BackBone,,,,
pixel,Sony PS5 Driving Force Hori Racing Wheel,console,,,"78,000",,Sony PS5 Driving Force Hori Racing Wheel,,,,
pixel,Sony PS5 HD Camera,console,,,"28,000",,Sony PS5 HD Camera (Սպիտակ),,,,
pixel,Sony PS5 PULSE Explore Wireless,earbuds,,,"99,000",,Sony PS5 PULSE Explore Wireless Earbuds (Սպիտակ),,,,
pixel,Sony PS5 VR 2,console,,,"229,000",,Sony PS5 VR 2,,,,
zigzag,Apple HomePod Mini /MJ2E3LL/A*,speaker,,,"72,900",,Apple HomePod Mini Yellow /MJ2E3LL/A*,,,,
zigzag,Apple iPad Pro 12.9 M2 Cell SpaceGray/MP5X3*,tablet,128GB,,"537,400",,Apple iPad Pro 12.9 M2 128GB Cell SpaceGray/MP5X3*,,,,
zigzag,Apple iPad Pro 12.9 M2 WiFi S.Grey/MNXP3RK/A,tablet,128GB,,"505,400",,Apple iPad Pro 12.9 M2 WiFi 128GB S.Grey/MNXP3RK/A,,,,
zigzag,Apple iPad Pro 12.9 M2 WiFi Silver/MNXQ3RK/A,tablet,128GB,,"505,400",,Apple iPad Pro 12.9 M2 WiFi 128GB Silver/MNXQ3RK/A,,,,
zigzag,Apple Studio Display XDR,monitor,,,"1,999,000",,Apple Studio Display XDR 2026 Tilt-Height adjustable /MFEL4*,,,,
zigzag,ASUS Vivobook S 15 (i9),laptop,,,"643,600",,"Asus Vivobook S 15.6"" i9-13900H 16/1 CAMO SILVER W11 /K5504VA-PB99-SL*",,,,
zigzag,Garmin CIRQA Smart Band,watch,,,"89,000",,Garmin CIRQA™ Smart Band  Mauve  S-M,,,,
zigzag,"Garmin CIRQA Smart Band, Black, S-M",watch,,,"89,000",,Garmin CIRQA™ Smart Band  Black  S-M,,,,
zigzag,Garmin Fenix 7 Pro Sapphire Solar,watch,,,"299,000",,Garmin Fenix 7 Pro Sapphire Solar Black,,,,
zigzag,Garmin Fenix 7X Pro – Sapphire Solar Edition,watch,,,"329,000",,Garmin Fenix 7X Pro – Sapphire Solar Edition,,,,
zigzag,"Garmin Fenix 8 Pro, AMOLED",watch,47mm / 51mm,,"434,130","468,930",Garmin Fenix 8 Pro – 47 mm  AMOLED | Garmin Fenix 8 Pro – 51 mm  AMOLED,,,,
zigzag,"Garmin Fenix 8, AMOLED",watch,47mm,,"348,000",,Garmin Fenix 8 – 47 mm  AMOLED Slate Gray | Garmin Fenix 8 – 47 mm  AMOLED Sapphire  Titanium with Vented titanium bracelet,,,,
zigzag,"Garmin Fenix 8, AMOLED Sapphire Carbon",watch,47mm,,"386,280",,Garmin Fenix 8 – 47 mm  AMOLED Sapphire Carbon Gray Titanium,,,,
zigzag,"Garmin Fenix 8, AMOLED Sapphire Spark",watch,47mm,,"386,280",,Garmin Fenix 8 – 47 mm  AMOLED Sapphire Spark Orange Titanium,,,,
zigzag,"Garmin Fenix 9 Pro, AMOLED, Carbon DLC",watch,47mm,,"489,000",,Garmin Fenix 9 Pro 47mm  AMOLED  Carbon Gray DLC Titanium,,,,
zigzag,"Garmin Fenix 9, Carbon DLC, Band",watch,51mm,,"489,000",,Garmin Fenix 9  51mm  Carbon DLC  Black Band,,,,
zigzag,Garmin Forerunner 170,watch,,,"129,000",,Garmin Forerunner 170 Black,,,,
zigzag,Garmin Forerunner 170 Music,watch,,,"159,000",,Garmin Forerunner 170 Music Black,,,,
zigzag,Garmin Forerunner 170 Music Whitestone,watch,,,"159,000",,Garmin Forerunner 170 Music Whitestone,,,,
zigzag,Garmin Forerunner 170 Whitestone,watch,,,"129,000",,Garmin Forerunner 170 Whitestone,,,,
zigzag,Garmin Forerunner 570,watch,,,"215,100",,Garmin Forerunner 570 Black,,,,
zigzag,Garmin Forerunner 70,watch,,,"109,000",,Garmin Forerunner 70 Black,,,,
zigzag,Garmin Forerunner 70 Citron,watch,,,"109,000",,Garmin Forerunner 70 Citron,,,,
zigzag,Garmin Forerunner 70 Whitestone,watch,,,"109,000",,Garmin Forerunner 70 Whitestone,,,,
zigzag,Garmin Forerunner 965 Black/Powder Grey,watch,,,"206,100",,Garmin Forerunner® 965 Black/Powder Grey,,,,
zigzag,Garmin Forerunner 970 Black,watch,,,"296,100",,Garmin Forerunner® 970 Black,,,,
zigzag,Garmin Instinct 2X Solar,watch,,,"169,150",,Garmin Instinct 2X Solar Graphite,,,,
zigzag,Garmin Instinct 2X Solar – Tactical Edition,watch,,,"166,440",,Garmin Instinct 2X Solar - Tactical Edition Coyote,,,,
zigzag,Garmin Instinct 2X Solar Moss,watch,,,"169,150",,Garmin Instinct 2X Solar Moss,,,,
zigzag,"Garmin Instinct 3, Solar",watch,45mm / 50mm,,"140,800","158,400",Garmin Instinct 3  50mm Solar | Garmin Instinct 3 – 45 mm  Solar,,,,
zigzag,Garmin Venu 3 leather,watch,,,"179,100",,Garmin Venu 3 Black leather,,,,
zigzag,Garmin Venu 3s French,watch,,,"189,000",,Garmin Venu 3s French grey,,,,
zigzag,"Garmin Venu X1, GPS",watch,,,"269,100",,Garmin Venu X1  GPS  Black,,,,
zigzag,"Garmin Venu X1, GPS, Moss",watch,,,"269,100",,Garmin Venu X1  GPS  Moss,,,,
zigzag,Garmin Vivoactive 5,watch,,,"121,500",,Garmin Vivoactive 5 Ivory,,,,
zigzag,Garmin vivoactive 6 Lunar Gold,watch,,,"144,000",,Garmin vivoactive® 6 Lunar Gold,,,,
zigzag,Google Pixel 10 Pro Fold /GU0NP,phone,512GB,,"919,000",,Google Pixel 10 Pro Fold 512GB Moonstone /GU0NP,,,,
zigzag,Honor MagicBook Pro 16,laptop,,,"559,900",,"Honor MagicBook Pro 16"" Ultra 5-125H 24/1 White W11H /5301AJJG",,,,
zigzag,Honor Watch 5,watch,,Green,"64,900",,Honor Watch 5 Green STL-B19 /5502ABGJ,,,,
zigzag,HP OmniBook 5 16 (Ultra 7),laptop,,,"499,000",,"HP OmniBook 5 16"" Ultra 7-255U 16/1 /BK9Y8EA",,,,
zigzag,Lenovo ThinkPad T16 G4,laptop,16GB,,"839,000",,"Lenovo ThinkPad T16 G4 16"" Ultra 7-255U 16GB/512GB /21QE0066FW",,,,
zigzag,Nothing 6974434224179,headphones,,,"157,000",,Nothing Headphone ( 1 ) White /6974434224179,,,,
zigzag,Nothing CMF Watch 3 Pro,watch,,Dark,"55,000",,Nothing CMF Watch 3 Pro Dark Grey /6974434225312,,,,
zigzag,Samsung Galaxy Watch 7 Ultra,watch,47mm,Gray,"229,900",,Samsung Galaxy Watch 7 Ultra 47mm Gray /SM-L705F,,,,
zigzag,Sony WF-1000XM5/BCE,earbuds,,,"147,900",,Sony WF-1000XM5/BCE,,,,
zigzag,Sony WF-1000XM5/SCE,earbuds,,,"147,900",,Sony WF-1000XM5/SCE,,,,
zigzag,Sony WF-C510/B,earbuds,,,"31,900",,Sony WF-C510/B,,,,
zigzag,Sony WF-C510/L,earbuds,,,"31,900",,Sony WF-C510/L,,,,
zigzag,Sony WF-C510/W,earbuds,,,"31,900",,Sony WF-C510/W,,,,
zigzag,Sony WF-C700N/GZ E,earbuds,,,"54,900",,Sony WF-C700N/GZ E,,,,
